Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SampleSuite,Chrome 119.0.0.0,,,10-04-2024 21:53:22,10-04-2024 21:54:42,1m - 19.678s,PASSED
,,,,,,,
Test Cases/Sample,Chrome 119.0.0.0,,,10-04-2024 21:53:23,10-04-2024 21:54:42,1m - 19.514s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,10-04-2024 21:53:23,10-04-2024 21:53:26,3.600s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,10-04-2024 21:53:26,10-04-2024 21:53:26,0.112s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,10-04-2024 21:53:26,10-04-2024 21:53:27,0.898s,PASSED
"navigateToUrl(""https://www.bangalorejobseekers.com/"")",Chrome 119.0.0.0,,,10-04-2024 21:53:27,10-04-2024 21:53:47,19.266s,PASSED
"click(findTestObject(""Object Repository/Page_BJS - Bangalore Job Seekers/a_Create Listing""))",Chrome 119.0.0.0,,,10-04-2024 21:53:47,10-04-2024 21:54:07,19.875s,PASSED
"click(findTestObject(""Object Repository/Page_Create Listing - Bangalore Job Seekers/a_register""))",Chrome 119.0.0.0,,,10-04-2024 21:54:07,10-04-2024 21:54:25,18.421s,PASSED
"click(findTestObject(""Object Repository/Page_Register - Bangalore Job Seekers Regis_226f9f/a_Submit Resume""))",Chrome 119.0.0.0,,,10-04-2024 21:54:25,10-04-2024 21:54:42,16.902s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,10-04-2024 21:54:42,10-04-2024 21:54:42,0.223s,PASSED
